Region/Country/Area,,Year,Series,Value,Footnotes
143,Central Asia,2019,Permanent crops (% of total land area),0.2,
143,Central Asia,2019,Forest cover (% of total land area),3.3,
143,Central Asia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),22.43,
143,Central Asia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),22.43,
30,Eastern Asia,2005,Land area (thousand hectares),"1,156,090",
30,Eastern Asia,2005,Arable land (thousand hectares),"130,794",
30,Eastern Asia,2005,Permanent crops (thousand hectares),"13,296",
30,Eastern Asia,2005,Forest cover (thousand hectares),"240,730",
30,Eastern Asia,2005,Arable land (% of total land area),11.3,
30,Eastern Asia,2005,Permanent crops (% of total land area),1.2,
30,Eastern Asia,2005,Forest cover (% of total land area),20.8,
30,Eastern Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),19.06,
30,Eastern Asia,2010,Land area (thousand hectares),"1,156,410",
30,Eastern Asia,2010,Arable land (thousand hectares),"130,795",
30,Eastern Asia,2010,Permanent crops (thousand hectares),"15,468",
30,Eastern Asia,2010,Forest cover (thousand hectares),"252,390",
30,Eastern Asia,2010,Arable land (% of total land area),11.3,
30,Eastern Asia,2010,Permanent crops (% of total land area),1.3,
30,Eastern Asia,2010,Forest cover (% of total land area),21.8,
30,Eastern Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),21.57,
30,Eastern Asia,2019,Land area (thousand hectares),"1,156,447",
30,Eastern Asia,2019,Arable land (thousand hectares),"128,571",
30,Eastern Asia,2019,Permanent crops (thousand hectares),"16,996",
30,Eastern Asia,2019,Forest cover (thousand hectares),"269,556",
30,Eastern Asia,2019,Arable land (% of total land area),11.1,
30,Eastern Asia,2019,Permanent crops (% of total land area),1.5,
30,Eastern Asia,2019,Forest cover (% of total land area),23.3,
30,Eastern Asia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),26.41,
30,Eastern Asia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),26.54,
35,South-eastern Asia,2005,Land area (thousand hectares),"440,948",
35,South-eastern Asia,2005,Arable land (thousand hectares),"65,540",
35,South-eastern Asia,2005,Permanent crops (thousand hectares),"36,521",
35,South-eastern Asia,2005,Forest cover (thousand hectares),"221,356",
35,South-eastern Asia,2005,Arable land (% of total land area),14.9,
35,South-eastern Asia,2005,Permanent crops (% of total land area),8.3,
35,South-eastern Asia,2005,Forest cover (% of total land area),50.2,
35,South-eastern Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),23.23,
35,South-eastern Asia,2010,Land area (thousand hectares),"440,985",
35,South-eastern Asia,2010,Arable land (thousand hectares),"68,117",
35,South-eastern Asia,2010,Permanent crops (thousand hectares),"42,500",
35,South-eastern Asia,2010,Forest cover (thousand hectares),"219,211",
35,South-eastern Asia,2010,Arable land (% of total land area),15.4,
35,South-eastern Asia,2010,Permanent crops (% of total land area),9.6,
35,South-eastern Asia,2010,Forest cover (% of total land area),49.7,
35,South-eastern Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),28.23,
35,South-eastern Asia,2019,Land area (thousand hectares),"440,943",
35,South-eastern Asia,2019,Arable land (thousand hectares),"72,886",
35,South-eastern Asia,2019,Permanent crops (thousand hectares),"49,222",
35,South-eastern Asia,2019,Forest cover (thousand hectares),"208,539",
35,South-eastern Asia,2019,Arable land (% of total land area),16.5,
35,South-eastern Asia,2019,Permanent crops (% of total land area),11.2,
35,South-eastern Asia,2019,Forest cover (% of total land area),47.3,
35,South-eastern Asia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),36.39,
35,South-eastern Asia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),36.55,
34,Southern Asia,2005,Land area (thousand hectares),"639,971",
34,Southern Asia,2005,Arable land (thousand hectares),"225,413",
34,Southern Asia,2005,Permanent crops (thousand hectares),"14,631",
34,Southern Asia,2005,Forest cover (thousand hectares),"96,630",
34,Southern Asia,2005,Arable land (% of total land area),35.2,
34,Southern Asia,2005,Permanent crops (% of total land area),2.3,
34,Southern Asia,2005,Forest cover (% of total land area),15.1,
34,Southern Asia,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),13.57,
34,Southern Asia,2010,Land area (thousand hectares),"639,971",
34,Southern Asia,2010,Arable land (thousand hectares),"220,858",
34,Southern Asia,2010,Permanent crops (thousand hectares),"16,864",
34,Southern Asia,2010,Forest cover (thousand hectares),"98,150",
34,Southern Asia,2010,Arable land (% of total land area),34.5,
34,Southern Asia,2010,Permanent crops (% of total land area),2.6,
34,Southern Asia,2010,Forest cover (% of total land area),15.3,
34,Southern Asia,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),14.49,
34,Southern Asia,2019,Land area (thousand hectares),"639,888",
34,Southern Asia,2019,Arable land (thousand hectares),"221,557",
34,Southern Asia,2019,Permanent crops (thousand hectares),"18,206",
34,Southern Asia,2019,Forest cover (thousand hectares),"100,298",
34,Southern Asia,2019,Arable land (% of total land area),34.6,
34,Southern Asia,2019,Permanent crops (% of total land area),2.8,
34,Southern Asia,2019,Forest cover (% of total land area),15.7,
34,Southern Asia,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),18.33,
34,Southern Asia,2021,Important sites for terrestrial biodiversity protected (% of total sites protected),18.64,
145,Western Asia,2005,Land area (thousand hectares),"479,491",
